Alpha,Train_Ratio,Opt_Ratio,Model,Accuracy Percentage,Manual Percentage
0.99,0.2,0.2,decision_tree,1,1
1,0.2,0.2,decision_tree,1,1
0.9,0.2,0.2,random_forest,0.940220923,0.480181936
0.95,0.2,0.2,random_forest,0.973359324,0.756335283
0.99,0.2,0.2,random_forest,0.995451592,0.977907732
1,0.2,0.2,random_forest,1,1
0.9,0.2,0.3,svm_rbf,0.988304094,0.988304094
0.95,0.2,0.3,svm_rbf,0.988304094,0.988304094
0.99,0.2,0.3,svm_rbf,1,1
1,0.2,0.3,svm_rbf,1,1
0.9,0.2,0.3,logistic_regression,0.950617284,0.551007147
0.95,0.2,0.3,logistic_regression,0.99740091,0.980506823
0.99,0.2,0.3,logistic_regression,0.99740091,0.980506823
1,0.2,0.3,logistic_regression,1,0.995451592
0.9,0.2,0.3,decision_tree,1,1
0.95,0.2,0.3,decision_tree,1,1
0.99,0.2,0.3,decision_tree,1,1
1,0.2,0.3,decision_tree,1,1
0.9,0.2,0.3,random_forest,0.950617284,0.540610786
0.95,0.2,0.3,random_forest,0.975958415,0.769330734
0.99,0.2,0.3,random_forest,0.996751137,0.979207277
1,0.2,0.3,random_forest,1,1
0.9,0.2,0.4,svm_rbf,0.992852502,0.992852502
0.95,0.2,0.4,svm_rbf,0.992852502,0.992852502
0.99,0.2,0.4,svm_rbf,1,1
1,0.2,0.4,svm_rbf,1,1
0.9,0.2,0.4,logistic_regression,0.960363873,0.657569851
0.95,0.2,0.4,logistic_regression,0.99740091,0.983755686
0.99,0.2,0.4,logistic_regression,0.99740091,0.983755686
1,0.2,0.4,logistic_regression,1,0.996751137
0.9,0.2,0.4,decision_tree,1,1
0.95,0.2,0.4,decision_tree,1,1
0.99,0.2,0.4,decision_tree,1,1
1,0.2,0.4,decision_tree,1,1
0.9,0.2,0.4,random_forest,0.960363873,0.647173489
0.95,0.2,0.4,random_forest,0.981806368,0.829109812
0.99,0.2,0.4,random_forest,0.996751137,0.980506823
1,0.2,0.4,random_forest,1,1
0.9,0.2,0.5,svm_rbf,0.993502274,0.993502274
0.95,0.2,0.5,svm_rbf,0.993502274,0.993502274
0.99,0.2,0.5,svm_rbf,1,1
1,0.2,0.5,svm_rbf,1,1
0.9,0.2,0.5,logistic_regression,0.970110461,0.746588694
0.95,0.2,0.5,logistic_regression,0.996751137,0.985705003
0.99,0.2,0.5,logistic_regression,0.99740091,0.987654321
1,0.2,0.5,logistic_regression,1,0.998700455
0.9,0.2,0.5,decision_tree,0.970110461,0.740740741
0.95,0.2,0.5,decision_tree,1,1
0.99,0.2,0.5,decision_tree,1,1
1,0.2,0.5,decision_tree,1,1
0.9,0.2,0.5,random_forest,0.970110461,0.725795971
0.95,0.2,0.5,random_forest,0.985705003,0.862897986
0.99,0.2,0.5,random_forest,0.998050682,0.987004548
1,0.2,0.5,random_forest,1,1
0.9,0.3,0.1,svm_rbf,0.983105913,0.983105913
0.95,0.3,0.1,svm_rbf,0.983105913,0.983105913
0.99,0.3,0.1,svm_rbf,1,1
1,0.3,0.1,svm_rbf,1,1
0.9,0.3,0.1,logistic_regression,0.940220923,0.474983756
0.95,0.3,0.1,logistic_regression,0.999350227,0.987004548
0.99,0.3,0.1,logistic_regression,0.999350227,0.987004548
1,0.3,0.1,logistic_regression,1,0.996101365
0.9,0.3,0.1,decision_tree,1,1
0.95,0.3,0.1,decision_tree,1,1
0.99,0.3,0.1,decision_tree,1,1
1,0.3,0.1,decision_tree,1,1
0.9,0.3,0.1,random_forest,0.940220923,0.49382716
0.95,0.3,0.1,random_forest,0.970760234,0.73554256
0.99,0.3,0.1,random_forest,0.994152047,0.953216374
1,0.3,0.1,random_forest,1,1
0.9,0.3,0.2,svm_rbf,0.987654321,0.987654321
0.95,0.3,0.2,svm_rbf,0.987654321,0.987654321
0.99,0.3,0.2,svm_rbf,1,1
1,0.3,0.2,svm_rbf,1,1
0.9,0.3,0.2,logistic_regression,0.951267057,0.564652372
0.95,0.3,0.2,logistic_regression,0.999350227,0.988953866
0.99,0.3,0.2,logistic_regression,0.999350227,0.988953866
1,0.3,0.2,logistic_regression,1,0.996751137
0.9,0.3,0.2,decision_tree,0.950617284,0.573749188
0.95,0.3,0.2,decision_tree,1,1
0.99,0.3,0.2,decision_tree,1,1
1,0.3,0.2,decision_tree,1,1
0.9,0.3,0.2,random_forest,0.950617284,0.57439896
0.95,0.3,0.2,random_forest,0.976608187,0.792722547
0.99,0.3,0.2,random_forest,0.995451592,0.957764782
1,0.3,0.2,random_forest,1,1
0.9,0.3,0.3,svm_rbf,0.988953866,0.988953866
0.95,0.3,0.3,svm_rbf,0.988953866,0.988953866
0.99,0.3,0.3,svm_rbf,1,1
1,0.3,0.3,svm_rbf,1,1
0.9,0.3,0.3,logistic_regression,0.960363873,0.626380767
0.95,0.3,0.3,logistic_regression,0.980506823,0.785575049
0.99,0.3,0.3,logistic_regression,0.998050682,0.974658869
1,0.3,0.3,logistic_regression,1,0.992852502
0.9,0.3,0.3,decision_tree,0.961663418,0.664717349
0.95,0.3,0.3,decision_tree,1,1
0.99,0.3,0.3,decision_tree,1,1
1,0.3,0.3,decision_tree,1,1
0.9,0.3,0.3,random_forest,0.960363873,0.649122807
0.95,0.3,0.3,random_forest,0.980506823,0.81871345
0.99,0.3,0.3,random_forest,0.996101365,0.961663418
1,0.3,0.3,random_forest,1,1
0.9,0.3,0.4,svm_rbf,0.989603639,0.989603639
0.95,0.3,0.4,svm_rbf,0.989603639,0.989603639
0.99,0.3,0.4,svm_rbf,1,1
1,0.3,0.4,svm_rbf,1,1
0.9,0.3,0.4,logistic_regression,0.970760234,0.73294347
0.95,0.3,0.4,logistic_regression,0.985055231,0.835607537
0.99,0.3,0.4,logistic_regression,0.998700455,0.98245614
1,0.3,0.4,logistic_regression,1,0.994801819
0.9,0.3,0.4,decision_tree,1,1
0.95,0.3,0.4,decision_tree,1,1
0.99,0.3,0.4,decision_tree,1,1
1,0.3,0.4,decision_tree,1,1
0.9,0.3,0.4,random_forest,0.970110461,0.749187784
0.95,0.3,0.4,random_forest,0.985705003,0.873294347
0.99,0.3,0.4,random_forest,0.99740091,0.974009097
1,0.3,0.4,random_forest,1,1
0.9,0.3,0.5,svm_rbf,0.994152047,0.994152047
0.95,0.3,0.5,svm_rbf,0.994152047,0.994152047
0.99,0.3,0.5,svm_rbf,1,1
1,0.3,0.5,svm_rbf,1,1
0.9,0.3,0.5,logistic_regression,0.980506823,0.814814815
0.95,0.3,0.5,logistic_regression,0.990253411,0.891487979
0.99,0.3,0.5,logistic_regression,0.998700455,0.98245614
1,0.3,0.5,logistic_regression,1,0.996101365
0.9,0.3,0.5,decision_tree,1,1
0.95,0.3,0.5,decision_tree,1,1
0.99,0.3,0.5,decision_tree,1,1
1,0.3,0.5,decision_tree,1,1
0.9,0.3,0.5,random_forest,0.980506823,0.83365822
0.95,0.3,0.5,random_forest,0.990903184,0.914879792
0.99,0.3,0.5,random_forest,0.998050682,0.980506823
1,0.3,0.5,random_forest,1,1
0.9,0.4,0.1,svm_rbf,0.979207277,0.979207277
0.95,0.4,0.1,svm_rbf,0.979207277,0.979207277
0.99,0.4,0.1,svm_rbf,1,1
1,0.4,0.1,svm_rbf,1,1
0.9,0.4,0.1,logistic_regression,0.951267057,0.591293047
0.95,0.4,0.1,logistic_regression,0.978557505,0.797270955
0.99,0.4,0.1,logistic_regression,1,0.987654321
1,0.4,0.1,logistic_regression,1,0.987654321
0.9,0.4,0.1,decision_tree,1,1
0.95,0.4,0.1,decision_tree,1,1
0.99,0.4,0.1,decision_tree,1,1
1,0.4,0.1,decision_tree,1,1
0.9,0.4,0.1,random_forest,0.950617284,0.572449643
0.95,0.4,0.1,random_forest,0.975308642,0.820012995
0.99,0.4,0.1,random_forest,1,1
1,0.4,0.1,random_forest,1,1
0.9,0.4,0.2,svm_rbf,0.98245614,0.98245614
0.95,0.4,0.2,svm_rbf,0.98245614,0.98245614
0.99,0.4,0.2,svm_rbf,1,1
1,0.4,0.2,svm_rbf,1,1
0.9,0.4,0.2,logistic_regression,0.961013645,0.671864847
0.95,0.4,0.2,logistic_regression,0.983105913,0.834957765
0.99,0.4,0.2,logistic_regression,0.996751137,0.976608187
1,0.4,0.2,logistic_regression,1,0.992202729
0.9,0.4,0.2,decision_tree,1,1
0.95,0.4,0.2,decision_tree,1,1
0.99,0.4,0.2,decision_tree,1,1
1,0.4,0.2,decision_tree,1,1
0.9,0.4,0.2,random_forest,0.960363873,0.65497076
0.95,0.4,0.2,random_forest,0.980506823,0.860298895
0.99,0.4,0.2,random_forest,1,1
1,0.4,0.2,random_forest,1,1
0.9,0.4,0.3,svm_rbf,0.987654321,0.987654321
0.95,0.4,0.3,svm_rbf,0.987654321,0.987654321
0.99,0.4,0.3,svm_rbf,1,1
1,0.4,0.3,svm_rbf,1,1
0.9,0.4,0.3,logistic_regression,0.970110461,0.753736192
0.95,0.4,0.3,logistic_regression,0.985705003,0.877842755
0.99,0.4,0.3,logistic_regression,0.998050682,0.983755686
1,0.4,0.3,logistic_regression,1,0.994152047
0.9,0.4,0.3,decision_tree,1,1
0.95,0.4,0.3,decision_tree,1,1
0.99,0.4,0.3,decision_tree,1,1
1,0.4,0.3,decision_tree,1,1
0.9,0.4,0.3,random_forest,0.970110461,0.760883691
0.95,0.4,0.3,random_forest,0.985055231,0.898635478
0.99,0.4,0.3,random_forest,0.99740091,0.988953866
1,0.4,0.3,random_forest,1,1
0.9,0.4,0.4,svm_rbf,0.992852502,0.992852502
0.95,0.4,0.4,svm_rbf,0.992852502,0.992852502
0.99,0.4,0.4,svm_rbf,1,1
1,0.4,0.4,svm_rbf,1,1
0.9,0.4,0.4,logistic_regression,0.980506823,0.834957765
0.95,0.4,0.4,logistic_regression,0.990903184,0.904483431
0.99,0.4,0.4,logistic_regression,0.998050682,0.987004548
1,0.4,0.4,logistic_regression,1,0.994801819
0.9,0.4,0.4,decision_tree,1,1
0.95,0.4,0.4,decision_tree,1,1
0.99,0.4,0.4,decision_tree,1,1
1,0.4,0.4,decision_tree,1,1
0.9,0.4,0.4,random_forest,0.980506823,0.846003899
0.95,0.4,0.4,random_forest,0.990253411,0.923976608
0.99,0.4,0.4,random_forest,0.998050682,0.97985705
1,0.4,0.4,random_forest,1,1
0.9,0.4,0.5,svm_rbf,0.996751137,0.996751137
0.95,0.4,0.5,svm_rbf,0.996751137,0.996751137
0.99,0.4,0.5,svm_rbf,1,1
1,0.4,0.5,svm_rbf,1,1
0.9,0.4,0.5,logistic_regression,0.990253411,0.931773879
0.95,0.4,0.5,logistic_regression,0.995451592,0.958414555
0.99,0.4,0.5,logistic_regression,0.999350227,0.993502274
1,0.4,0.5,logistic_regression,1,0.995451592
0.9,0.4,0.5,decision_tree,1,1
0.95,0.4,0.5,decision_tree,1,1
0.99,0.4,0.5,decision_tree,1,1
1,0.4,0.5,decision_tree,1,1
0.9,0.4,0.5,random_forest,0.990253411,0.948018194
0.95,0.4,0.5,random_forest,0.995451592,0.974658869
0.99,0.4,0.5,random_forest,0.999350227,0.994801819
1,0.4,0.5,random_forest,1,1
0.9,0.5,0.1,svm_rbf,0.983755686,0.983755686
0.95,0.5,0.1,svm_rbf,0.983755686,0.983755686
0.99,0.5,0.1,svm_rbf,1,1
1,0.5,0.1,svm_rbf,1,1
0.9,0.5,0.1,logistic_regression,0.960363873,0.649122807
0.95,0.5,0.1,logistic_regression,0.98245614,0.803768681
0.99,0.5,0.1,logistic_regression,0.99740091,0.977907732
1,0.5,0.1,logistic_regression,1,0.999350227
0.9,0.5,0.1,decision_tree,1,1
0.95,0.5,0.1,decision_tree,1,1
0.99,0.5,0.1,decision_tree,1,1
1,0.5,0.1,decision_tree,1,1
0.9,0.5,0.1,random_forest,0.960363873,0.682910981
0.95,0.5,0.1,random_forest,0.983105913,0.888239116
0.99,0.5,0.1,random_forest,0.996751137,0.983755686
