0.9,0.1,0.1,svm_rbf,0.9772951628825272,0.9772951628825272
0.95,0.1,0.1,svm_rbf,0.9772951628825272,0.9772951628825272
0.99,0.1,0.1,svm_rbf,0.9898815399802566,0.9898815399802566
1.0,0.1,0.1,svm_rbf,0.9898815399802566,0.9898815399802566
0.9,0.1,0.1,logistic_regression,0.9884007897334649,0.9802566633761106
0.95,0.1,0.1,logistic_regression,0.9884007897334649,0.9802566633761106
0.99,0.1,0.1,logistic_regression,0.9884007897334649,0.9802566633761106
1.0,0.1,0.1,logistic_regression,0.9898815399802566,0.9888943731490621
0.9,0.1,0.1,decision_tree,0.9898815399802566,0.9898815399802566
0.95,0.1,0.1,decision_tree,0.9898815399802566,0.9898815399802566
0.99,0.1,0.1,decision_tree,0.9898815399802566,0.9898815399802566
1.0,0.1,0.1,decision_tree,0.9898815399802566,0.9898815399802566
0.9,0.1,0.1,random_forest,0.9111549851924975,0.48321816386969396
0.95,0.1,0.1,random_forest,0.9513820335636722,0.7295162882527148
0.99,0.1,0.1,random_forest,0.9879072063178678,0.971618953603159
1.0,0.1,0.1,random_forest,0.9898815399802566,0.9898815399802566
0.9,0.1,0.2,svm_rbf,0.9790227048371175,0.9790227048371175
0.95,0.1,0.2,svm_rbf,0.9790227048371175,0.9790227048371175
0.99,0.1,0.2,svm_rbf,0.9901283316880553,0.9901283316880553
1.0,0.1,0.2,svm_rbf,0.9901283316880553,0.9901283316880553
0.9,0.1,0.2,logistic_regression,0.9884007897334649,0.9805034550839091
0.95,0.1,0.2,logistic_regression,0.9884007897334649,0.9805034550839091
0.99,0.1,0.2,logistic_regression,0.9884007897334649,0.9805034550839091
1.0,0.1,0.2,logistic_regression,0.9901283316880553,0.9891411648568608
0.9,0.1,0.2,decision_tree,0.9901283316880553,0.9901283316880553
0.95,0.1,0.2,decision_tree,0.9901283316880553,0.9901283316880553
0.99,0.1,0.2,decision_tree,0.9901283316880553,0.9901283316880553
1.0,0.1,0.2,decision_tree,0.9901283316880553,0.9901283316880553
0.9,0.1,0.2,random_forest,0.9232477788746298,0.5649062191510366
0.95,0.1,0.2,random_forest,0.9563178677196447,0.763573543928924
0.99,0.1,0.2,random_forest,0.9884007897334649,0.9730997038499506
1.0,0.1,0.2,random_forest,0.9901283316880553,0.9901283316880553
0.9,0.1,0.3,svm_rbf,0.9802566633761106,0.9802566633761106
0.95,0.1,0.3,svm_rbf,0.9802566633761106,0.9802566633761106
0.99,0.1,0.3,svm_rbf,0.9903751233958539,0.9903751233958539
1.0,0.1,0.3,svm_rbf,0.9903751233958539,0.9903751233958539
0.9,0.1,0.3,logistic_regression,0.9888943731490621,0.9822309970384995
0.95,0.1,0.3,logistic_regression,0.9888943731490621,0.9822309970384995
0.99,0.1,0.3,logistic_regression,0.9888943731490621,0.9822309970384995
1.0,0.1,0.3,logistic_regression,0.9903751233958539,0.989634748272458
0.9,0.1,0.3,decision_tree,0.9903751233958539,0.9903751233958539
0.95,0.1,0.3,decision_tree,0.9903751233958539,0.9903751233958539
0.99,0.1,0.3,decision_tree,0.9903751233958539,0.9903751233958539
1.0,0.1,0.3,decision_tree,0.9903751233958539,0.9903751233958539
0.9,0.1,0.3,random_forest,0.9316386969397829,0.6261105626850938
0.95,0.1,0.3,random_forest,0.9639684106614018,0.8181145113524185
0.99,0.1,0.3,random_forest,0.9886475814412635,0.9745804540967423
1.0,0.1,0.3,random_forest,0.9903751233958539,0.9903751233958539
0.9,0.1,0.4,svm_rbf,0.983218163869694,0.983218163869694
0.95,0.1,0.4,svm_rbf,0.983218163869694,0.983218163869694
0.99,0.1,0.4,svm_rbf,0.9921026653504442,0.9921026653504442
1.0,0.1,0.4,svm_rbf,0.9921026653504442,0.9921026653504442
0.9,0.1,0.4,logistic_regression,0.9827245804540967,0.9096742349457059
0.95,0.1,0.4,logistic_regression,0.9827245804540967,0.9096742349457059
0.99,0.1,0.4,logistic_regression,0.9908687068114511,0.9849457058242843
1.0,0.1,0.4,logistic_regression,0.9921026653504442,0.9913622902270484
0.9,0.1,0.4,decision_tree,0.9921026653504442,0.9921026653504442
0.95,0.1,0.4,decision_tree,0.9921026653504442,0.9921026653504442
0.99,0.1,0.4,decision_tree,0.9921026653504442,0.9921026653504442
1.0,0.1,0.4,decision_tree,0.9921026653504442,0.9921026653504442
0.9,0.1,0.4,random_forest,0.9437314906219151,0.6907699901283317
0.95,0.1,0.4,random_forest,0.967670286278381,0.8324284304047384
0.99,0.1,0.4,random_forest,0.9906219151036525,0.9792694965449161
1.0,0.1,0.4,random_forest,0.9921026653504442,0.9921026653504442
0.9,0.1,0.5,svm_rbf,0.9859328726554788,0.9859328726554788
0.95,0.1,0.5,svm_rbf,0.9859328726554788,0.9859328726554788
0.99,0.1,0.5,svm_rbf,0.9933366238894373,0.9933366238894373
1.0,0.1,0.5,svm_rbf,0.9933366238894373,0.9933366238894373
0.9,0.1,0.5,logistic_regression,0.9777887462981244,0.8613030602171767
0.95,0.1,0.5,logistic_regression,0.9777887462981244,0.8613030602171767
0.99,0.1,0.5,logistic_regression,0.991609081934847,0.9842053307008884
1.0,0.1,0.5,logistic_regression,0.9933366238894373,0.9925962487660415
0.9,0.1,0.5,decision_tree,0.9933366238894373,0.9933366238894373
0.95,0.1,0.5,decision_tree,0.9933366238894373,0.9933366238894373
0.99,0.1,0.5,decision_tree,0.9933366238894373,0.9933366238894373
1.0,0.1,0.5,decision_tree,0.9933366238894373,0.9933366238894373
0.9,0.1,0.5,random_forest,0.9545903257650543,0.756416584402764
0.95,0.1,0.5,random_forest,0.9750740375123396,0.8770977295162883
0.99,0.1,0.5,random_forest,0.9923494570582428,0.983218163869694
1.0,0.1,0.5,random_forest,0.9933366238894373,0.9933366238894373
0.9,0.2,0.1,svm_rbf,0.9686574531095755,0.9686574531095755
0.95,0.2,0.1,svm_rbf,0.9686574531095755,0.9686574531095755
0.99,0.2,0.1,svm_rbf,0.9908687068114511,0.9908687068114511
1.0,0.2,0.1,svm_rbf,0.9908687068114511,0.9908687068114511
0.9,0.2,0.1,logistic_regression,0.9874136229022705,0.9693978282329714
0.95,0.2,0.1,logistic_regression,0.9874136229022705,0.9693978282329714
0.99,0.2,0.1,logistic_regression,0.9874136229022705,0.9693978282329714
1.0,0.2,0.1,logistic_regression,0.9908687068114511,0.9898815399802566
0.9,0.2,0.1,decision_tree,0.9908687068114511,0.9908687068114511
0.95,0.2,0.1,decision_tree,0.9908687068114511,0.9908687068114511
0.99,0.2,0.1,decision_tree,0.9908687068114511,0.9908687068114511
1.0,0.2,0.1,decision_tree,0.9908687068114511,0.9908687068114511
0.9,0.2,0.1,random_forest,0.9237413622902271,0.5681145113524185
0.95,0.2,0.1,random_forest,0.9568114511352419,0.7917077986179665
0.99,0.2,0.1,random_forest,0.9854392892398816,0.9671767028627838
1.0,0.2,0.1,random_forest,0.9908687068114511,0.9908687068114511
0.9,0.2,0.2,svm_rbf,0.9726061204343535,0.9726061204343535
0.95,0.2,0.2,svm_rbf,0.9726061204343535,0.9726061204343535
0.99,0.2,0.2,svm_rbf,0.9913622902270484,0.9913622902270484
1.0,0.2,0.2,svm_rbf,0.9913622902270484,0.9913622902270484
0.9,0.2,0.2,logistic_regression,0.9829713721618953,0.9030108588351431
0.95,0.2,0.2,logistic_regression,0.9829713721618953,0.9030108588351431
0.99,0.2,0.2,logistic_regression,0.9886475814412635,0.9723593287265548
1.0,0.2,0.2,logistic_regression,0.9913622902270484,0.9906219151036525
0.9,0.2,0.2,decision_tree,0.9913622902270484,0.9913622902270484
0.95,0.2,0.2,decision_tree,0.9913622902270484,0.9913622902270484
0.99,0.2,0.2,decision_tree,0.9913622902270484,0.9913622902270484
1.0,0.2,0.2,decision_tree,0.9913622902270484,0.9913622902270484
0.9,0.2,0.2,random_forest,0.9326258637709773,0.6110562685093781
0.95,0.2,0.2,random_forest,0.9624876604146101,0.812685093780849
0.99,0.2,0.2,random_forest,0.9869200394866733,0.9713721618953604
1.0,0.2,0.2,random_forest,0.9913622902270484,0.9913622902270484
0.9,0.2,0.3,svm_rbf,0.9765547877591313,0.9765547877591313
0.95,0.2,0.3,svm_rbf,0.9765547877591313,0.9765547877591313
0.99,0.2,0.3,svm_rbf,0.9918558736426456,0.9918558736426456
1.0,0.2,0.3,svm_rbf,0.9918558736426456,0.9918558736426456
0.9,0.2,0.3,logistic_regression,0.9844521224086871,0.9180651530108588
